ID,category_big,category_medium,area,1 tsagiin tsalin 10'000 aas deesh,huwtsaslalt chuluutei,lucn baigaa,tsalin daily/weekly,suragch ajillaj bolno,bogino hugatsaagaar ajillaj bolno,7 honogt 3aas deesh ajilna,honogt 4uus deesh tsag ajilna,office iin ajil,daatgal tuldug,fashion,health/beauty,education,food,marketing/customer service,event,IT/creative,barilga,jolooch/hurgelt,ugaalga/tsewerlegee
11371,飲食・フード,居酒屋,Saitama,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
11376,飲食・フード,居酒屋,Kanagawa,1,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
11377,飲食・フード,居酒屋,Kanagawa,1,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
11379,飲食・フード,居酒屋,Tokyo,0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0
11380,飲食・フード,居酒屋,Oosaka,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
11382,飲食・フード,居酒屋,Tokyo,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
11384,飲食・フード,居酒屋,Tokyo,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
11387,飲食・フード,居酒屋,Tokyo,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
11388,飲食・フード,居酒屋,Oosaka,0,1,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
11389,飲食・フード,居酒屋,Tokyo,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
11392,飲食・フード,居酒屋,Kanagawa,0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0
11395,飲食・フード,居酒屋,Kanagawa,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
11400,飲食・フード,居酒屋,Kanagawa,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
11403,飲食・フード,居酒屋,Oosaka,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
11405,飲食・フード,居酒屋,Tokyo,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
11408,飲食・フード,居酒屋,Kanagawa,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
11585,販売・接客サービス,コンビニ・スーパー,Oosaka,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
11586,販売・接客サービス,コンビニ・スーパー,Chiba,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
11590,販売・接客サービス,コンビニ・スーパー,Kanagawa,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
11592,販売・接客サービス,コンビニ・スーパー,Tokyo,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
11593,販売・接客サービス,コンビニ・スーパー,Chiba,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
11598,販売・接客サービス,コンビニ・スーパー,Aichi,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
11603,販売・接客サービス,コンビニ・スーパー,Tokyo,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
11606,販売・接客サービス,コンビニ・スーパー,Kanagawa,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
11607,販売・接客サービス,コンビニ・スーパー,Aichi,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
11612,販売・接客サービス,コンビニ・スーパー,Tokyo,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
11619,販売・接客サービス,コンビニ・スーパー,Tokyo,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
11621,販売・接客サービス,コンビニ・スーパー,Tokyo,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
11623,販売・接客サービス,コンビニ・スーパー,Kanagawa,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
11624,販売・接客サービス,コンビニ・スーパー,Aichi,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
11629,販売・接客サービス,コンビニ・スーパー,Kanagawa,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
11632,販売・接客サービス,コンビニ・スーパー,Chiba,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
11633,販売・接客サービス,コンビニ・スーパー,Saitama,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
11636,販売・接客サービス,コンビニ・スーパー,Chiba,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
11637,販売・接客サービス,コンビニ・スーパー,Oosaka,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
11644,販売・接客サービス,コンビニ・スーパー,Aichi,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
11645,販売・接客サービス,コンビニ・スーパー,Chiba,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
11650,販売・接客サービス,コンビニ・スーパー,Tokyo,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
11652,販売・接客サービス,コンビニ・スーパー,Saitama,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
11655,販売・接客サービス,コンビニ・スーパー,Saitama,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
11658,販売・接客サービス,量販店・大型SC,Tokyo,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
11659,販売・接客サービス,量販店・大型SC,Kanagawa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
11660,販売・接客サービス,量販店・大型SC,Kanagawa,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
11661,販売・接客サービス,量販店・大型SC,Aichi,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
11663,販売・接客サービス,量販店・大型SC,Tokyo,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
11664,販売・接客サービス,量販店・大型SC,Tokyo,1,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
11665,販売・接客サービス,量販店・大型SC,Kanagawa,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
11669,販売・接客サービス,量販店・大型SC,Chiba,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
11670,販売・接客サービス,量販店・大型SC,Aichi,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
11682,販売・接客サービス,量販店・大型SC,Chiba,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
11684,販売・接客サービス,量販店・大型SC,Tokyo,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
11688,販売・接客サービス,量販店・大型SC,Tokyo,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
11763,イベント・キャンペーン・アミューズメント,イベント・キャンペーン,Tokyo,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
11764,イベント・キャンペーン・アミューズメント,イベント・キャンペーン,Oosaka,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
11765,イベント・キャンペーン・アミューズメント,イベント・キャンペーン,Aichi,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0
11767,イベント・キャンペーン・アミューズメント,イベント・キャンペーン,Chiba,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
11768,イベント・キャンペーン・アミューズメント,イベント・キャンペーン,Tokyo,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0
11771,イベント・キャンペーン・アミューズメント,イベント・キャンペーン,Tokyo,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
11775,イベント・キャンペーン・アミューズメント,イベント・キャンペーン,Tokyo,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
11776,イベント・キャンペーン・アミューズメント,イベント・キャンペーン,Saitama,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
11778,イベント・キャンペーン・アミューズメント,イベント・キャンペーン,Aichi,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
11780,イベント・キャンペーン・アミューズメント,イベント・キャンペーン,Chiba,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
11784,イベント・キャンペーン・アミューズメント,イベント・キャンペーン,Kanagawa,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
11792,イベント・キャンペーン・アミューズメント,イベント・キャンペーン,Oosaka,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0
11797,イベント・キャンペーン・アミューズメント,イベント・キャンペーン,Tokyo,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0
11798,イベント・キャンペーン・アミューズメント,イベント・キャンペーン,Aichi,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
11801,イベント・キャンペーン・アミューズメント,イベント・キャンペーン,Tokyo,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0
11802,イベント・キャンペーン・アミューズメント,イベント・キャンペーン,Oosaka,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
11803,イベント・キャンペーン・アミューズメント,イベント・キャンペーン,Tokyo,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
11804,イベント・キャンペーン・アミューズメント,イベント・キャンペーン,Oosaka,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
11806,イベント・キャンペーン・アミューズメント,イベント・キャンペーン,Tokyo,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0
11808,イベント・キャンペーン・アミューズメント,イベント・キャンペーン,Saitama,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0
11809,イベント・キャンペーン・アミューズメント,イベント・キャンペーン,Chiba,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0
